kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ENGINEER,204971.0,1875.0,1809.0,11.0,246.0,61.0,933.0,162375.33200000005,163401.501,0.0,1.0364842454394694
ASSASSIN,156475.0,2372.0,4711.0,5.0,548.0,30.0,300.0,73036.64000000004,110218.27099999998,0.0,0.5035024410953088
MEDIC,73808.0,435.0,635.0,6.0,107.0,55.0,1031.0,30478.837999999996,57527.69999999998,70970.0,0.6850393700787402
NINJA,85844.0,644.0,3087.0,17.0,147.0,77.0,893.0,108939.33199999998,81283.708,0.0,0.20861678004535147
CHEMIST,28132.0,303.0,623.0,3.0,5.0,87.0,1173.0,19236.363999999998,42777.56,0.0,0.48635634028892455
SOLDIER,37029.0,98.0,363.0,10.0,5.0,117.0,1790.0,6728.663999999999,25947.664000000008,0.0,0.2699724517906336
ELF,68295.0,451.0,1421.0,28.0,10.0,375.0,5519.0,23241.09999999999,99325.83700000001,0.0,0.31738212526389864
HEAVY,16403.0,101.0,113.0,0.0,7.0,9.0,91.0,10029.833,12261.139000000001,0.0,0.8938053097345132
PYRO,51900.0,387.0,486.0,5.0,112.0,16.0,710.0,24676.805000000004,35435.755000000005,0.0,0.7962962962962963
FASHIONISTA,20939.0,1.0,16.0,0.0,0.0,0.0,0.0,109.0,566.579,0.0,0.0625
SCOUT,804.0,4.0,21.0,0.0,0.0,3.0,14.0,222.34799999999998,618.288,0.0,0.19047619047619047
MAGE,13051.0,42.0,153.0,1.0,8.0,7.0,99.0,4437.155000000001,6291.889999999999,0.0,0.27450980392156865
ARCHER,34218.0,513.0,387.0,0.0,0.0,3.0,8.0,16393.307,23025.592,0.0,1.3255813953488371
DWARF,1273.0,1.0,7.0,0.0,0.0,0.0,0.0,193.89499999999998,410.46,0.0,0.14285714285714285
NECRO,76374.0,1393.0,1531.0,10.0,25.0,134.0,2222.0,62846.739,132138.03999999998,0.0,0.9098628347485304
