kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,232357.0,4638.0,6433.0,4.0,796.0,37.0,903.0,128440.671,157245.53399999999,0.0,0.7209699984455153
MEDIC,33087.0,157.0,154.0,0.0,68.0,4.0,233.0,12511.709,18881.792999999994,41045.0,1.0194805194805194
NINJA,25573.0,261.0,706.0,4.0,37.0,19.0,175.0,25352.048000000006,19035.411,0.0,0.3696883852691218
SCOUT,1911.0,9.0,39.0,0.0,2.0,1.0,9.0,704.771,1367.141,0.0,0.23076923076923078
ARCHER,2813.0,37.0,33.0,0.0,1.0,1.0,0.0,1357.0960000000002,2198.6560000000004,0.0,1.121212121212121
HEAVY,3818.0,1.0,0.0,0.0,0.0,0.0,0.0,238.45999999999998,192.25,0.0,Inf
CHEMIST,747.0,1.0,4.0,0.0,1.0,0.0,0.0,78.564,133.749,0.0,0.25
PYRO,2063.0,23.0,21.0,0.0,2.0,1.0,4.0,1296.77,1293.1390000000001,0.0,1.0952380952380953
SOLDIER,3801.0,33.0,34.0,0.0,2.0,4.0,15.0,2621.725,3389.839,0.0,0.9705882352941176
NECRO,5659.0,73.0,68.0,0.0,12.0,11.0,97.0,4714.21,7374.739,0.0,1.0735294117647058
ENGINEER,570.0,2.0,1.0,1.0,2.0,1.0,59.0,101.5,14.0,0.0,2.0
ELF,792.0,6.0,14.0,0.0,0.0,1.0,0.0,241.594,1023.25,0.0,0.42857142857142855
MAGE,179.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,NaN
DWARF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
