kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MAGE,419.0,1.0,3.0,0.0,0.0,0.0,0.0,74.0,90.952,0.0,0.3333333333333333
HEAVY,17581.0,330.0,119.0,2.0,28.0,8.0,537.0,27710.898999999998,19531.069000000003,0.0,2.773109243697479
ELF,2015.0,0.0,6.0,0.0,0.0,2.0,58.0,33.0,246.96800000000002,0.0,0.0
CHEMIST,121.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYRO,6286.0,105.0,25.0,0.0,20.0,0.0,0.0,4523.67,3197.888,0.0,4.2
MEDIC,850.0,9.0,10.0,0.0,0.0,2.0,10.0,392.788,725.777,197.0,0.9
ARCHER,295.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,43.5,0.0,Inf
SOLDIER,3601.0,24.0,18.0,0.0,6.0,0.0,0.0,3918.2569999999996,2766.5280000000002,0.0,1.3333333333333333
NINJA,2719.0,42.0,43.0,0.0,5.0,0.0,0.0,3115.486,1429.75,0.0,0.9767441860465116
SCOUT,4157.0,20.0,21.0,0.0,4.0,0.0,0.0,1759.416,1271.5639999999999,0.0,0.9523809523809523
NECRO,155.0,2.0,0.0,0.0,0.0,0.0,0.0,145.08,50.579,0.0,Inf
ASSASSIN,202.0,6.0,5.0,0.0,1.0,0.0,0.0,87.583,127.7,0.0,1.2
FASHIONISTA,117.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,NaN
