kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,524715.0,5134.0,10165.0,374.0,167.0,3601.0,81130.0,297897.42499999976,862227.6340000002,0.0,0.5050664043285784
DWARF,2263.0,26.0,11.0,1.0,0.0,8.0,235.0,1037.6950000000002,1222.995,0.0,2.3636363636363638
MEDIC,17335.0,136.0,229.0,4.0,9.0,23.0,791.0,8396.683,19436.697,15300.0,0.5938864628820961
ENGINEER,45.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,49.926,0.0,0.0
HEAVY,6168.0,60.0,91.0,0.0,2.0,9.0,254.0,7198.489999999999,11457.231000000002,0.0,0.6593406593406593
PYRO,2549.0,21.0,36.0,0.0,10.0,0.0,2.0,1596.472,1990.515,0.0,0.5833333333333334
ASSASSIN,2789.0,59.0,103.0,1.0,7.0,2.0,10.0,1736.7160000000001,2417.929,0.0,0.5728155339805825
NINJA,5199.0,27.0,144.0,5.0,5.0,17.0,270.0,3688.644,3876.569,0.0,0.1875
CHEMIST,2618.0,18.0,46.0,3.0,2.0,15.0,266.0,1042.881,2336.393,0.0,0.391304347826087
ELF,1151.0,7.0,14.0,1.0,0.0,4.0,125.0,627.51,1113.79,0.0,0.5
SCOUT,4265.0,32.0,66.0,1.0,12.0,3.0,113.0,2477.705,2527.766,0.0,0.48484848484848486
ARCHER,341.0,2.0,0.0,0.0,0.0,0.0,0.0,34.8,0.0,0.0,Inf
