kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,154895.0,4011.0,7718.0,3.0,414.0,34.0,259.0,429677.844,183020.06999999986,0.0,0.5196942213008552
SOLDIER,26091.0,485.0,283.0,2.0,67.0,9.0,73.0,51339.816,36133.377,0.0,1.7137809187279152
HEAVY,7200.0,175.0,86.0,1.0,12.0,2.0,78.0,20598.676,14464.946000000002,0.0,2.0348837209302326
ARCHER,3606.0,79.0,23.0,0.0,1.0,1.0,9.0,3351.428,1585.533,0.0,3.4347826086956523
ASSASSIN,1165.0,33.0,25.0,0.0,5.0,0.0,0.0,1090.433,628.6519999999999,0.0,1.32
NECRO,170.0,2.0,3.0,0.0,0.0,0.0,0.0,305.33500000000004,201.41899999999998,0.0,0.6666666666666666
MEDIC,12689.0,182.0,142.0,0.0,12.0,0.0,79.0,10530.250999999998,13338.123999999998,12642.0,1.2816901408450705
SCOUT,325.0,5.0,9.0,0.0,0.0,0.0,0.0,366.573,266.657,0.0,0.5555555555555556
MAGE,282.0,2.0,7.0,0.0,0.0,0.0,0.0,352.097,264.595,0.0,0.2857142857142857
DWARF,120.0,1.0,1.0,0.0,0.0,0.0,34.0,37.744,47.0,0.0,1.0
PYRO,1356.0,30.0,9.0,0.0,12.0,0.0,0.0,1415.903,683.999,0.0,3.3333333333333335
CHEMIST,406.0,15.0,8.0,0.0,1.0,2.0,2.0,500.99899999999997,480.7370000000001,0.0,1.875
ENGINEER,94.0,2.0,2.0,0.0,1.0,0.0,0.0,213.037,97.435,0.0,1.0
ELF,172.0,3.0,4.0,0.0,0.0,2.0,16.0,91.199,199.274,0.0,0.75
