kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,264630.0,1883.0,5342.0,72.0,15.0,1466.0,21556.0,104143.19299999991,371973.27699999994,0.0,0.35248970423062526
MEDIC,100502.0,832.0,1489.0,10.0,66.0,42.0,739.0,38363.94699999998,116039.93200000006,92527.0,0.5587642713230356
SCOUT,5104.0,25.0,124.0,0.0,4.0,13.0,55.0,1235.7369999999999,3955.0850000000005,0.0,0.20161290322580644
HEAVY,7529.0,75.0,136.0,2.0,1.0,19.0,904.0,6797.036,13575.915999999994,0.0,0.5514705882352942
ASSASSIN,3490.0,52.0,86.0,1.0,5.0,4.0,102.0,1127.2669999999998,1838.636,0.0,0.6046511627906976
CHEMIST,7607.0,33.0,157.0,1.0,0.0,34.0,350.0,3297.8569999999995,9255.534,0.0,0.21019108280254778
DWARF,685.0,3.0,5.0,0.0,0.0,0.0,12.0,52.899,304.379,0.0,0.6
PYRO,4088.0,41.0,74.0,0.0,7.0,0.0,0.0,2633.438,4496.249,0.0,0.5540540540540541
NINJA,4142.0,20.0,116.0,0.0,6.0,5.0,6.0,2537.226,2654.875,0.0,0.1724137931034483
ARCHER,1118.0,4.0,15.0,1.0,0.0,4.0,72.0,134.523,734.486,0.0,0.26666666666666666
MAGE,545.0,1.0,11.0,1.0,0.0,2.0,79.0,48.5,275.585,0.0,0.09090909090909091
NECRO,1882.0,34.0,46.0,1.0,1.0,4.0,41.0,1869.766,3630.415,0.0,0.7391304347826086
ELF,1719.0,12.0,26.0,1.0,0.0,8.0,655.0,338.61,3078.272,0.0,0.46153846153846156
