kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,27010.0,268.0,172.0,2.0,21.0,30.0,490.0,23839.569999999992,21928.961,0.0,1.558139534883721
NINJA,93684.0,1305.0,2538.0,16.0,190.0,56.0,1438.0,127294.78599999996,65362.68899999999,0.0,0.5141843971631206
MEDIC,57674.0,821.0,710.0,11.0,32.0,93.0,2087.0,38733.505000000005,72190.47699999998,50012.0,1.156338028169014
CHEMIST,145461.0,3665.0,2371.0,55.0,82.0,549.0,12787.0,232314.31100000007,274496.642,0.0,1.5457612821594264
ARCHER,25844.0,509.0,236.0,0.0,9.0,2.0,100.0,14568.327999999998,15146.19,0.0,2.156779661016949
SOLDIER,84956.0,910.0,1225.0,40.0,17.0,519.0,10765.0,59339.71800000002,107547.37400000001,0.0,0.7428571428571429
ASSASSIN,183425.0,4714.0,4595.0,16.0,481.0,64.0,848.0,125031.75500000005,109752.55299999991,0.0,1.0258977149075081
PYRO,75719.0,1298.0,625.0,1.0,233.0,22.0,387.0,58987.70199999998,53405.63100000004,0.0,2.0768
MAGE,52686.0,471.0,533.0,5.0,26.0,47.0,1026.0,45602.083000000006,38938.953000000016,0.0,0.8836772983114447
DWARF,719.0,6.0,3.0,1.0,0.0,0.0,26.0,395.181,399.095,0.0,2.0
ENGINEER,4772.0,41.0,35.0,1.0,3.0,2.0,105.0,3819.8330000000005,3288.992,0.0,1.1714285714285715
NECRO,37150.0,679.0,320.0,3.0,41.0,32.0,788.0,46504.17300000002,44611.893000000004,301.0,2.121875
ELF,16976.0,102.0,161.0,2.0,4.0,24.0,655.0,7352.0610000000015,13417.970000000003,0.0,0.6335403726708074
SCOUT,15180.0,109.0,264.0,0.0,16.0,10.0,23.0,7182.355,11698.511,0.0,0.4128787878787879
