kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,181823.0,570.0,763.0,6.0,241.0,19.0,926.0,54506.277000000024,99423.69099999989,157998.0,0.747051114023591
ARCHER,136486.0,1709.0,1198.0,5.0,15.0,33.0,807.0,47965.727000000006,65612.65800000001,0.0,1.4265442404006679
HEAVY,40619.0,69.0,171.0,2.0,7.0,38.0,650.0,6830.195999999999,15891.342999999997,0.0,0.40350877192982454
NINJA,55870.0,257.0,900.0,2.0,59.0,27.0,377.0,31686.960000000003,25560.966999999997,0.0,0.28555555555555556
SOLDIER,675.0,6.0,7.0,1.0,0.0,2.0,237.0,210.274,807.54,0.0,0.8571428571428571
DWARF,1888.0,10.0,18.0,0.0,0.0,0.0,24.0,510.02,1541.0800000000002,0.0,0.5555555555555556
CHEMIST,183.0,0.0,2.0,0.0,0.0,0.0,0.0,24.2,51.799,0.0,0.0
ASSASSIN,8012.0,64.0,177.0,0.0,12.0,5.0,119.0,1819.9099999999999,3979.086,0.0,0.3615819209039548
PYRO,8924.0,61.0,78.0,1.0,12.0,1.0,10.0,4511.841,5926.486,0.0,0.782051282051282
NECRO,13313.0,32.0,28.0,1.0,11.0,4.0,260.0,2727.869,4844.629,0.0,1.1428571428571428
