kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,23666.0,169.0,191.0,0.0,20.0,21.0,625.0,10873.053000000002,17342.624999999996,10612.0,0.8848167539267016
CHEMIST,25604.0,404.0,415.0,12.0,8.0,116.0,2099.0,18609.820999999996,30961.123999999996,0.0,0.9734939759036144
HEAVY,10464.0,44.0,40.0,0.0,2.0,6.0,53.0,3835.642,4502.557,0.0,1.1
SOLDIER,21017.0,170.0,342.0,6.0,14.0,110.0,1613.0,11150.574,24201.775,0.0,0.49707602339181284
NINJA,17209.0,201.0,484.0,2.0,49.0,11.0,157.0,21762.181999999997,13108.548000000003,0.0,0.4152892561983471
ARCHER,2679.0,39.0,39.0,0.0,0.0,1.0,31.0,1070.425,1714.926,0.0,1.0
PYRO,1728.0,11.0,11.0,0.0,6.0,0.0,0.0,777.3330000000001,688.989,0.0,1.0
MAGE,955.0,16.0,19.0,0.0,0.0,1.0,3.0,683.124,885.89,0.0,0.8421052631578947
ASSASSIN,1670.0,38.0,38.0,0.0,10.0,0.0,0.0,1027.725,926.906,0.0,1.0
ELF,3416.0,32.0,43.0,1.0,0.0,11.0,186.0,956.816,2200.085,0.0,0.7441860465116279
NECRO,630.0,0.0,7.0,0.0,0.0,0.0,0.0,330.0,387.83000000000004,0.0,0.0
ENGINEER,1287.0,15.0,23.0,0.0,1.0,6.0,71.0,646.972,1169.186,0.0,0.6521739130434783
SCOUT,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
