kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,5589.0,45.0,21.0,0.0,4.0,2.0,5.0,6859.037,4435.242,0.0,2.142857142857143
MAGE,2170.0,0.0,3.0,0.0,0.0,0.0,26.0,40.0,105.0,0.0,0.0
PYRO,13576.0,198.0,114.0,0.0,56.0,0.0,0.0,9983.146000000002,7917.693000000001,0.0,1.736842105263158
CHEMIST,5560.0,124.0,68.0,6.0,0.0,24.0,1205.0,6006.1990000000005,7552.5689999999995,0.0,1.8235294117647058
NINJA,71063.0,1436.0,2538.0,0.0,204.0,6.0,79.0,166129.88800000004,66228.24100000002,0.0,0.5657998423955871
SOLDIER,73.0,0.0,0.0,0.0,0.0,0.0,0.0,154.539,36.0,0.0,NaN
SCOUT,400.0,1.0,6.0,0.0,0.0,0.0,0.0,407.72,218.239,0.0,0.16666666666666666
DWARF,241.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,51.239,0.0,NaN
ARCHER,93.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,34.357,0.0,0.0
ELF,729.0,7.0,5.0,1.0,1.0,2.0,138.0,256.529,404.445,0.0,1.4
MEDIC,327.0,2.0,3.0,0.0,0.0,2.0,24.0,100.249,125.565,318.0,0.6666666666666666
NECRO,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,NaN
ASSASSIN,1706.0,63.0,46.0,0.0,8.0,0.0,0.0,1911.4389999999999,1175.377,0.0,1.3695652173913044
