kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,40305.0,660.0,372.0,0.0,136.0,3.0,5.0,32759.086000000003,29786.825999999994,0.0,1.7741935483870968
ASSASSIN,3741.0,70.0,102.0,0.0,8.0,1.0,22.0,2587.054,2423.111,0.0,0.6862745098039216
SCOUT,21248.0,181.0,345.0,1.0,34.0,18.0,170.0,15819.776000000003,12547.772999999992,0.0,0.5246376811594203
ENGINEER,3927.0,28.0,28.0,0.0,1.0,1.0,0.0,2137.566,2085.814,0.0,1.0
NINJA,25500.0,260.0,790.0,5.0,29.0,60.0,389.0,33517.715,23211.277000000002,0.0,0.3291139240506329
HEAVY,8615.0,213.0,100.0,0.0,2.0,0.0,4.0,16887.806,11554.977,0.0,2.13
NECRO,1960.0,23.0,14.0,0.0,2.0,0.0,0.0,2465.981,1907.2700000000002,0.0,1.6428571428571428
CHEMIST,7060.0,98.0,131.0,4.0,6.0,46.0,672.0,7980.243000000001,10622.475999999997,0.0,0.7480916030534351
MEDIC,30350.0,257.0,331.0,1.0,29.0,14.0,362.0,19285.378999999997,29562.679000000004,39392.0,0.7764350453172205
ELF,3622.0,35.0,71.0,1.0,1.0,20.0,243.0,2201.247,3670.315,0.0,0.49295774647887325
SOLDIER,7356.0,46.0,107.0,8.0,3.0,50.0,654.0,4746.423,7484.9839999999995,0.0,0.42990654205607476
ARCHER,10039.0,186.0,110.0,1.0,2.0,2.0,44.0,6453.721,6931.378,0.0,1.690909090909091
MAGE,2021.0,17.0,40.0,0.0,0.0,3.0,31.0,1610.741,1945.956,0.0,0.425
DWARF,28.0,1.0,2.0,0.0,0.0,0.0,0.0,46.439,41.0,0.0,0.5
