kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,6733.0,88.0,169.0,3.0,6.0,25.0,541.0,6774.183999999999,4418.3240000000005,0.0,0.5207100591715976
MEDIC,157086.0,2752.0,2540.0,8.0,24.0,67.0,1651.0,98131.99099999995,263941.95399999997,108964.0,1.0834645669291338
HEAVY,28979.0,798.0,391.0,3.0,17.0,24.0,1429.0,54498.17300000001,50139.302,0.0,2.040920716112532
ARCHER,1986.0,24.0,14.0,0.0,0.0,0.0,0.0,1287.4,673.096,0.0,1.7142857142857142
DWARF,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
CHEMIST,12749.0,306.0,225.0,4.0,9.0,30.0,589.0,17877.034,20394.332000000002,0.0,1.36
SOLDIER,6745.0,100.0,114.0,4.0,2.0,32.0,787.0,6879.285,9347.180999999999,0.0,0.8771929824561403
NECRO,1094.0,24.0,8.0,1.0,1.0,0.0,11.0,934.575,1080.479,0.0,3.0
ELF,3734.0,46.0,62.0,2.0,0.0,16.0,332.0,2030.343,4481.334,0.0,0.7419354838709677
SCOUT,213.0,2.0,5.0,0.0,0.0,0.0,0.0,179.8,196.251,0.0,0.4
ENGINEER,472.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,100.498,0.0,0.0
PYRO,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,NaN
