kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,44402.0,1494.0,576.0,0.0,2.0,1.0,1.0,38349.48799999999,35914.884000000005,0.0,2.59375
HEAVY,13173.0,293.0,178.0,5.0,11.0,17.0,384.0,27281.277,24046.317000000003,0.0,1.646067415730337
CHEMIST,39307.0,1041.0,775.0,9.0,21.0,225.0,3290.0,58204.129,94117.046,0.0,1.343225806451613
MEDIC,29809.0,537.0,496.0,3.0,18.0,39.0,803.0,23403.323,51556.134,22186.0,1.0826612903225807
ELF,28594.0,475.0,550.0,8.0,4.0,182.0,3119.0,21342.162,49146.641,0.0,0.8636363636363636
SOLDIER,40585.0,562.0,773.0,26.0,11.0,341.0,6243.0,28365.570000000003,69130.67300000001,0.0,0.7270375161707633
NINJA,39227.0,771.0,1511.0,1.0,111.0,36.0,160.0,86325.86599999997,45585.997,0.0,0.5102581072137657
PYRO,13805.0,308.0,118.0,0.0,57.0,0.0,0.0,14085.526999999998,11492.707000000002,0.0,2.610169491525424
SCOUT,10721.0,97.0,273.0,0.0,27.0,2.0,18.0,10070.869,10857.386000000004,0.0,0.3553113553113553
MAGE,1018.0,19.0,10.0,0.0,0.0,1.0,0.0,1098.341,745.5749999999999,0.0,1.9
ASSASSIN,5006.0,159.0,151.0,0.0,33.0,0.0,0.0,4646.707,3613.3989999999994,0.0,1.0529801324503312
