kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,88025.0,1546.0,454.0,4.0,148.0,6.0,1474.0,144014.501,96252.67199999999,0.0,3.405286343612335
MEDIC,77371.0,565.0,434.0,2.0,124.0,16.0,383.0,56478.761,55662.767000000014,91686.0,1.3018433179723503
NINJA,19011.0,297.0,415.0,0.0,39.0,3.0,18.0,25916.824,11430.171999999999,0.0,0.7156626506024096
CHEMIST,62794.0,1024.0,457.0,5.0,70.0,43.0,1115.0,89068.753,68988.22499999999,0.0,2.2407002188183807
ENGINEER,1496.0,11.0,4.0,1.0,0.0,1.0,31.0,237.867,275.4,0.0,2.75
SOLDIER,145592.0,1978.0,1130.0,7.0,309.0,52.0,1838.0,191480.4240000001,144951.60199999993,0.0,1.7504424778761063
ELF,832.0,11.0,10.0,0.0,0.0,0.0,0.0,1139.398,694.314,0.0,1.1
PYRO,15454.0,258.0,133.0,0.0,53.0,0.0,3.0,13691.709000000003,11188.875999999998,0.0,1.9398496240601504
ARCHER,555.0,11.0,8.0,0.0,0.0,0.0,0.0,428.687,434.229,0.0,1.375
FASHIONISTA,1506.0,9.0,11.0,0.0,2.0,0.0,0.0,771.8990000000001,694.366,0.0,0.8181818181818182
DWARF,477.0,3.0,2.0,0.0,1.0,0.0,0.0,158.417,109.6,0.0,1.5
NECRO,609.0,8.0,9.0,1.0,0.0,1.0,27.0,677.944,601.048,0.0,0.8888888888888888
SCOUT,332.0,1.0,4.0,0.0,0.0,0.0,0.0,105.5,123.671,0.0,0.25
ASSASSIN,146.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MAGE,73.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,NaN
