kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,28404.0,207.0,233.0,2.0,31.0,3.0,138.0,14116.640000000001,25159.309,24582.0,0.8884120171673819
HEAVY,4722.0,65.0,48.0,0.0,5.0,3.0,89.0,7720.093,6107.159000000001,0.0,1.3541666666666667
PYRO,262803.0,3897.0,1578.0,3.0,947.0,11.0,1127.0,195607.57200000004,182604.44999999998,0.0,2.46958174904943
CHEMIST,2281.0,23.0,32.0,1.0,0.0,7.0,107.0,2175.01,2600.4629999999997,0.0,0.71875
ENGINEER,1018.0,3.0,3.0,0.0,0.0,3.0,484.0,185.06900000000002,121.059,0.0,1.0
NINJA,7295.0,115.0,191.0,0.0,19.0,0.0,0.0,10914.196,5356.148999999999,0.0,0.6020942408376964
ASSASSIN,3465.0,69.0,82.0,0.0,8.0,1.0,16.0,1742.424,1989.3919999999998,0.0,0.8414634146341463
ARCHER,7769.0,190.0,68.0,0.0,2.0,3.0,31.0,4921.353999999999,4983.165,0.0,2.7941176470588234
SOLDIER,13608.0,149.0,153.0,1.0,19.0,26.0,765.0,19549.562999999995,17477.659,0.0,0.9738562091503268
MAGE,2396.0,25.0,16.0,0.0,1.0,0.0,0.0,1959.969,1134.623,0.0,1.5625
SCOUT,1135.0,4.0,13.0,0.0,1.0,2.0,308.0,452.52299999999997,477.913,0.0,0.3076923076923077
NECRO,2327.0,41.0,33.0,0.0,2.0,2.0,3.0,3491.527,3733.128,0.0,1.2424242424242424
DWARF,523.0,3.0,1.0,1.0,0.0,1.0,93.0,84.77,59.05,0.0,3.0
ELF,121.0,1.0,1.0,0.0,0.0,1.0,7.0,60.478,86.445,0.0,1.0
