kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,18475.0,136.0,138.0,0.0,5.0,11.0,79.0,13057.059000000001,18592.829,0.0,0.9855072463768116
MEDIC,378946.0,1857.0,2824.0,23.0,178.0,76.0,3059.0,120760.7429999999,306794.6530000003,378662.0,0.6575779036827195
CHEMIST,2351.0,4.0,11.0,0.0,0.0,0.0,0.0,87.75,293.51800000000003,0.0,0.36363636363636365
SOLDIER,4789.0,36.0,63.0,4.0,1.0,12.0,470.0,1761.29,4874.869000000001,0.0,0.5714285714285714
MAGE,288.0,0.0,3.0,0.0,0.0,0.0,0.0,63.0,139.347,0.0,0.0
NECRO,375.0,1.0,4.0,0.0,0.0,0.0,0.0,83.879,236.381,0.0,0.25
NINJA,9002.0,66.0,196.0,2.0,17.0,18.0,431.0,7577.710999999999,5268.498,0.0,0.336734693877551
ASSASSIN,67169.0,1044.0,1340.0,6.0,143.0,17.0,350.0,29120.53099999999,30659.498999999996,0.0,0.7791044776119403
ELF,6893.0,35.0,54.0,0.0,4.0,4.0,157.0,3275.7880000000005,4242.14,0.0,0.6481481481481481
DWARF,349.0,0.0,2.0,0.0,0.0,0.0,0.0,43.08,97.999,0.0,0.0
PYRO,390.0,2.0,6.0,0.0,0.0,0.0,0.0,166.049,182.059,0.0,0.3333333333333333
ENGINEER,231.0,1.0,3.0,0.0,0.0,0.0,0.0,105.4,85.26,0.0,0.3333333333333333
ARCHER,10444.0,146.0,119.0,1.0,1.0,4.0,100.0,4929.938999999999,6053.025000000001,0.0,1.226890756302521
SCOUT,2805.0,18.0,61.0,0.0,0.0,5.0,61.0,598.386,2153.8149999999996,0.0,0.29508196721311475
