kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,93622.0,1384.0,1679.0,20.0,21.0,333.0,6360.0,74293.971,149917.76200000008,0.0,0.8243001786777844
PYRO,12265.0,196.0,78.0,0.0,51.0,0.0,8.0,9321.925000000001,9100.13,0.0,2.5128205128205128
ELF,15940.0,116.0,286.0,5.0,1.0,77.0,1012.0,6043.911999999999,19252.526,0.0,0.40559440559440557
SOLDIER,38945.0,433.0,553.0,5.0,24.0,144.0,2182.0,31450.937,49282.52699999998,0.0,0.783001808318264
HEAVY,47848.0,550.0,415.0,3.0,23.0,29.0,522.0,46630.80600000002,55023.14199999999,0.0,1.3253012048192772
MEDIC,241867.0,2951.0,3613.0,21.0,80.0,207.0,4306.0,111790.915,357155.60900000005,210549.0,0.8167727650152228
NINJA,121325.0,1509.0,4879.0,13.0,180.0,144.0,1038.0,210780.62599999996,125360.28699999997,0.0,0.3092846894855503
ASSASSIN,403635.0,10436.0,14218.0,17.0,1016.0,209.0,1631.0,343394.35500000004,356469.5720000003,0.0,0.7339991559994373
ARCHER,26083.0,516.0,385.0,0.0,1.0,4.0,47.0,16844.017,27653.782,0.0,1.3402597402597403
MAGE,7230.0,51.0,101.0,0.0,2.0,2.0,22.0,3996.365,4765.905000000001,0.0,0.504950495049505
ENGINEER,3635.0,38.0,64.0,0.0,0.0,1.0,3.0,3815.8790000000004,4305.869,0.0,0.59375
SCOUT,61176.0,521.0,1485.0,0.0,42.0,135.0,651.0,37681.042000000016,57036.585999999996,0.0,0.35084175084175084
NECRO,7902.0,147.0,122.0,3.0,0.0,13.0,229.0,6899.052,12364.454,0.0,1.2049180327868851
DWARF,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FASHIONISTA,167.0,0.0,4.0,0.0,0.0,0.0,0.0,68.0,199.719,0.0,0.0
