kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,16781.0,294.0,145.0,0.0,15.0,8.0,128.0,30209.638999999992,19909.445000000003,0.0,2.027586206896552
SOLDIER,21744.0,255.0,188.0,0.0,36.0,17.0,204.0,29414.421000000002,18699.585000000003,0.0,1.3563829787234043
CHEMIST,8502.0,187.0,113.0,3.0,13.0,16.0,274.0,14059.633,11020.606,0.0,1.654867256637168
NINJA,95867.0,1837.0,3619.0,3.0,228.0,20.0,341.0,208198.12100000004,93232.55900000004,0.0,0.5075987841945289
PYRO,6207.0,110.0,88.0,0.0,14.0,1.0,3.0,5367.7570000000005,4960.504000000001,0.0,1.25
MEDIC,7856.0,120.0,102.0,0.0,3.0,3.0,63.0,5757.739999999999,10033.681,7036.0,1.1764705882352942
SCOUT,29585.0,341.0,506.0,2.0,41.0,9.0,85.0,29339.387000000002,20936.006999999994,0.0,0.6739130434782609
ARCHER,3448.0,77.0,29.0,0.0,0.0,0.0,0.0,2629.129,1826.491,0.0,2.6551724137931036
MAGE,466.0,5.0,5.0,0.0,0.0,0.0,21.0,226.464,215.332,0.0,1.0
ASSASSIN,6735.0,93.0,87.0,0.0,10.0,2.0,13.0,3136.25,2253.4020000000005,0.0,1.0689655172413792
DWARF,149.0,5.0,0.0,0.0,0.0,0.0,0.0,184.721,109.0,0.0,Inf
FASHIONISTA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ELF,303.0,1.0,6.0,0.0,0.0,0.0,0.0,99.64,318.06100000000004,0.0,0.16666666666666666
ENGINEER,175.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,74.836,0.0,0.0
