kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,77070.0,1187.0,2691.0,0.0,174.0,3.0,50.0,153092.72200000004,71725.65100000003,0.0,0.44109996283909325
ENGINEER,14660.0,171.0,126.0,0.0,26.0,7.0,155.0,17777.490999999998,14752.738000000001,0.0,1.3571428571428572
HEAVY,2480.0,34.0,38.0,0.0,3.0,3.0,4.0,4397.008,3748.2629999999995,0.0,0.8947368421052632
SOLDIER,2188.0,14.0,14.0,0.0,6.0,0.0,0.0,3005.935,2114.05,0.0,1.0
MEDIC,615.0,7.0,4.0,0.0,2.0,0.0,0.0,327.81,403.57300000000004,1187.0,1.75
NECRO,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMIST,808.0,9.0,9.0,1.0,0.0,3.0,19.0,712.324,1001.128,0.0,1.0
ASSASSIN,771.0,17.0,16.0,0.0,3.0,1.0,23.0,524.961,440.92,0.0,1.0625
SCOUT,2486.0,25.0,44.0,0.0,8.0,2.0,21.0,2736.63,2260.668,0.0,0.5681818181818182
PYRO,708.0,14.0,4.0,0.0,5.0,0.0,0.0,708.871,731.52,0.0,3.5
MAGE,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
