kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
DWARF,476.0,18.0,6.0,0.0,3.0,0.0,0.0,843.301,320.45899999999995,0.0,3.0
SOLDIER,75441.0,1211.0,1212.0,53.0,41.0,509.0,10233.0,68645.419,107743.686,0.0,0.9991749174917491
MEDIC,5685.0,54.0,67.0,0.0,9.0,15.0,168.0,4986.354,7521.155999999999,4143.0,0.8059701492537313
NINJA,22233.0,318.0,577.0,1.0,81.0,2.0,24.0,36670.55599999998,16652.671,0.0,0.5511265164644714
HEAVY,5471.0,82.0,45.0,0.0,3.0,7.0,59.0,8243.339,6300.958999999999,0.0,1.8222222222222222
ARCHER,2608.0,55.0,23.0,0.0,1.0,0.0,0.0,1450.2959999999998,1571.4450000000002,0.0,2.391304347826087
SCOUT,14347.0,157.0,281.0,1.0,47.0,11.0,76.0,15684.784,12558.870000000003,0.0,0.5587188612099644
CHEMIST,1616.0,36.0,33.0,2.0,0.0,12.0,86.0,1715.043,2613.326,0.0,1.0909090909090908
PYRO,2459.0,42.0,34.0,1.0,14.0,3.0,31.0,2352.604,2038.824,0.0,1.2352941176470589
ELF,691.0,13.0,6.0,2.0,4.0,5.0,76.0,707.438,607.549,0.0,2.1666666666666665
MAGE,968.0,18.0,5.0,0.0,0.0,1.0,11.0,764.8439999999999,564.296,0.0,3.6
NECRO,4113.0,77.0,35.0,0.0,5.0,2.0,2.0,6753.054,5627.82,0.0,2.2
ASSASSIN,757.0,35.0,38.0,0.0,6.0,3.0,7.0,1231.199,972.29,0.0,0.9210526315789473
ENGINEER,240.0,2.0,1.0,0.0,0.0,0.0,0.0,85.258,45.686,0.0,2.0
