kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,11558.0,24.0,12.0,0.0,1.0,4.0,110.0,2015.4190000000003,2121.762,0.0,2.0
ARCHER,134528.0,2879.0,1403.0,3.0,12.0,14.0,269.0,81650.71599999997,87093.344,0.0,2.052031361368496
MEDIC,9560.0,29.0,74.0,0.0,6.0,29.0,624.0,3151.2830000000004,7889.0650000000005,2331.0,0.3918918918918919
ENGINEER,452.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,7.0,0.0,NaN
ASSASSIN,3578.0,74.0,108.0,0.0,8.0,1.0,3.0,1987.8760000000002,2305.694,0.0,0.6851851851851852
MAGE,26765.0,178.0,241.0,2.0,16.0,9.0,210.0,16712.907000000003,14333.944,0.0,0.7385892116182573
CHEMIST,964.0,3.0,7.0,0.0,0.0,1.0,5.0,150.927,257.688,0.0,0.42857142857142855
ELF,4263.0,17.0,49.0,0.0,3.0,2.0,121.0,1225.05,2403.6890000000003,0.0,0.3469387755102041
FASHIONISTA,398.0,3.0,2.0,0.0,0.0,1.0,230.0,85.029,74.625,0.0,1.5
DWARF,458.0,1.0,1.0,1.0,0.0,1.0,52.0,84.489,60.0,0.0,1.0
NINJA,2855.0,24.0,63.0,0.0,3.0,3.0,277.0,2625.6540000000005,1634.6470000000002,0.0,0.38095238095238093
SCOUT,33.0,0.0,1.0,0.0,0.0,0.0,0.0,15.75,29.563,0.0,0.0
NECRO,143.0,0.0,2.0,0.0,0.0,0.0,0.0,26.65,34.279,0.0,0.0
SOLDIER,59.0,1.0,1.0,0.0,0.0,0.0,0.0,44.38,89.749,0.0,1.0
