kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,31390.0,422.0,266.0,7.0,17.0,47.0,2438.0,29396.989999999994,36930.734,0.0,1.586466165413534
MAGE,12115.0,80.0,117.0,0.0,1.0,0.0,0.0,7753.732999999999,6290.074999999999,0.0,0.6837606837606838
MEDIC,342020.0,2404.0,2519.0,29.0,164.0,196.0,3549.0,114905.15699999993,293913.3230000001,257213.0,0.9543469630805875
ARCHER,16630.0,248.0,148.0,0.0,4.0,0.0,17.0,7207.8099999999995,9039.013,0.0,1.6756756756756757
NINJA,23153.0,300.0,734.0,19.0,39.0,55.0,711.0,31083.234999999993,21102.766000000003,0.0,0.4087193460490463
CHEMIST,10255.0,25.0,65.0,0.0,1.0,1.0,1.0,1124.208,1626.7460000000003,0.0,0.38461538461538464
SOLDIER,37213.0,410.0,518.0,5.0,27.0,108.0,1651.0,31782.322999999993,44980.42,0.0,0.7915057915057915
ASSASSIN,84142.0,1512.0,2214.0,4.0,209.0,21.0,256.0,42406.954000000005,53645.00500000002,0.0,0.6829268292682927
ELF,1529.0,8.0,11.0,3.0,0.0,5.0,302.0,305.70399999999995,866.0419999999999,0.0,0.7272727272727273
PYRO,31061.0,433.0,329.0,0.0,95.0,3.0,181.0,24486.448,26647.499999999996,0.0,1.3161094224924013
NECRO,48768.0,880.0,610.0,4.0,17.0,63.0,1233.0,43821.82900000001,72018.43500000001,132.0,1.4426229508196722
ENGINEER,8713.0,115.0,102.0,3.0,3.0,2.0,154.0,7534.312,9581.669999999998,0.0,1.1274509803921569
SCOUT,7510.0,70.0,156.0,0.0,5.0,9.0,40.0,4324.988,6603.834000000001,0.0,0.44871794871794873
DWARF,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
