kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ELF,207573.0,2427.0,3517.0,105.0,18.0,1239.0,24652.0,92020.15099999998,285315.35199999996,0.0,0.69007676997441
HEAVY,38823.0,788.0,585.0,7.0,28.0,89.0,3955.0,60711.39099999999,72437.755,0.0,1.347008547008547
PYRO,94131.0,1513.0,834.0,4.0,424.0,4.0,75.0,75203.55999999997,74281.39400000001,0.0,1.814148681055156
SOLDIER,26282.0,287.0,371.0,19.0,17.0,140.0,3814.0,16154.175000000007,32579.567000000006,0.0,0.7735849056603774
CHEMIST,82928.0,1681.0,1469.0,28.0,32.0,269.0,4861.0,86261.62399999997,133050.64100000003,0.0,1.1443158611300204
ASSASSIN,25332.0,653.0,849.0,4.0,72.0,14.0,210.0,19363.258,19682.61,0.0,0.7691401648998822
MEDIC,39195.0,662.0,745.0,1.0,15.0,76.0,457.0,29644.766000000003,72473.69899999998,19572.0,0.8885906040268456
ENGINEER,7517.0,126.0,75.0,0.0,7.0,3.0,28.0,7238.135000000001,6484.283,0.0,1.68
NINJA,96450.0,1382.0,3208.0,13.0,126.0,260.0,1569.0,131105.22600000002,90899.224,0.0,0.4307980049875312
ARCHER,6358.0,114.0,72.0,0.0,0.0,2.0,27.0,4011.6330000000003,4085.094000000001,0.0,1.5833333333333333
SCOUT,33924.0,320.0,735.0,1.0,41.0,32.0,238.0,27742.138000000003,30453.175999999996,0.0,0.43537414965986393
MAGE,1959.0,16.0,26.0,0.0,1.0,0.0,0.0,1808.059,1217.4460000000001,0.0,0.6153846153846154
DWARF,543.0,8.0,5.0,0.0,0.0,0.0,0.0,791.5360000000001,550.479,0.0,1.6
NECRO,10882.0,230.0,183.0,0.0,6.0,18.0,459.0,13637.050000000001,19666.439000000002,0.0,1.2568306010928962
FASHIONISTA,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
