kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,496390.0,10662.0,7130.0,4.0,38.0,17.0,222.0,287261.21900000033,432122.24399999983,0.0,1.4953716690042076
CHEMIST,7062.0,91.0,108.0,10.0,5.0,44.0,990.0,5286.3150000000005,8246.727,0.0,0.8425925925925926
SCOUT,10191.0,68.0,215.0,1.0,18.0,6.0,24.0,6426.639999999999,8607.785999999998,0.0,0.31627906976744186
NINJA,46498.0,469.0,1263.0,6.0,91.0,31.0,401.0,57348.03399999999,34222.32100000001,0.0,0.37133808392715756
ASSASSIN,181767.0,3797.0,5243.0,40.0,521.0,52.0,136.0,129768.45499999993,128438.84400000006,0.0,0.7242037001716575
HEAVY,12902.0,180.0,109.0,1.0,16.0,7.0,208.0,24077.472999999998,18386.284999999996,0.0,1.651376146788991
PYRO,25387.0,348.0,252.0,2.0,96.0,2.0,4.0,17683.331000000002,21251.707,0.0,1.380952380952381
DWARF,398.0,1.0,4.0,1.0,0.0,0.0,43.0,539.796,427.98699999999997,0.0,0.25
MAGE,20426.0,119.0,193.0,1.0,10.0,9.0,216.0,14200.432999999997,13085.476999999999,0.0,0.616580310880829
MEDIC,111240.0,858.0,1156.0,12.0,40.0,39.0,1095.0,41328.00700000002,121054.90100000004,99984.0,0.7422145328719724
SOLDIER,69075.0,447.0,1194.0,48.0,16.0,520.0,9787.0,26664.84199999999,103516.20000000004,0.0,0.3743718592964824
ELF,4575.0,38.0,94.0,1.0,1.0,24.0,864.0,1300.72,7038.943000000001,0.0,0.40425531914893614
ENGINEER,49599.0,544.0,547.0,7.0,31.0,64.0,907.0,44130.757999999994,51280.50900000001,0.0,0.9945155393053017
NECRO,27268.0,359.0,232.0,6.0,10.0,24.0,917.0,21108.545,32014.062,0.0,1.5474137931034482
