kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,5479.0,52.0,9.0,0.0,11.0,1.0,17.0,5335.174,2874.476,0.0,5.777777777777778
MEDIC,4281.0,40.0,42.0,0.0,6.0,7.0,32.0,2915.931,4512.813999999999,2125.0,0.9523809523809523
CHEMIST,13574.0,157.0,183.0,9.0,3.0,35.0,532.0,7847.76,11906.132999999998,0.0,0.8579234972677595
ENGINEER,405.0,2.0,5.0,0.0,0.0,0.0,20.0,324.19,338.78,0.0,0.4
ARCHER,144.0,2.0,3.0,0.0,0.0,0.0,0.0,203.62,220.2,0.0,0.6666666666666666
NINJA,25456.0,315.0,553.0,1.0,74.0,1.0,1.0,31404.770999999993,15913.467999999997,0.0,0.569620253164557
SOLDIER,2867.0,20.0,30.0,1.0,1.0,8.0,274.0,1202.5059999999999,2499.781,0.0,0.6666666666666666
MAGE,288.0,1.0,1.0,0.0,0.0,0.0,0.0,55.139,222.716,0.0,1.0
NECRO,346.0,0.0,2.0,0.0,0.0,1.0,6.0,56.075,216.551,0.0,0.0
PYRO,7232.0,90.0,77.0,0.0,19.0,0.0,0.0,5398.299,5469.088000000001,0.0,1.1688311688311688
ELF,245.0,0.0,2.0,0.0,1.0,0.0,0.0,44.5,75.081,0.0,0.0
DWARF,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
