kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,60796.0,1146.0,585.0,9.0,81.0,40.0,806.0,106991.97499999996,89627.51299999998,0.0,1.958974358974359
MEDIC,9496.0,91.0,80.0,2.0,6.0,11.0,538.0,5708.812,8800.409000000001,4695.0,1.1375
SOLDIER,36095.0,450.0,323.0,0.0,88.0,21.0,147.0,57656.293000000005,43130.23500000001,0.0,1.3931888544891642
CHEMIST,59230.0,1259.0,1046.0,23.0,34.0,221.0,5137.0,82188.28799999997,109540.89299999998,0.0,1.2036328871892925
ASSASSIN,7863.0,193.0,181.0,1.0,23.0,6.0,96.0,5223.543,4433.332,0.0,1.0662983425414365
NINJA,22058.0,351.0,617.0,1.0,66.0,4.0,59.0,36247.321,17497.097,0.0,0.5688816855753647
NECRO,7688.0,201.0,93.0,0.0,7.0,1.0,14.0,11791.222999999998,11531.501,0.0,2.161290322580645
MAGE,1862.0,5.0,13.0,0.0,2.0,1.0,2.0,1063.741,963.1400000000001,0.0,0.38461538461538464
SCOUT,5574.0,67.0,85.0,0.0,11.0,3.0,21.0,4244.822999999999,3664.185,0.0,0.788235294117647
PYRO,3351.0,51.0,27.0,0.0,7.0,0.0,8.0,2363.703,2777.353,0.0,1.8888888888888888
DWARF,204.0,1.0,0.0,0.0,0.0,0.0,0.0,23.5,38.0,0.0,Inf
ELF,1473.0,10.0,9.0,1.0,0.0,2.0,153.0,609.624,710.5699999999999,0.0,1.1111111111111112
ARCHER,620.0,25.0,12.0,0.0,0.0,0.0,0.0,508.583,854.698,0.0,2.0833333333333335
ENGINEER,133.0,4.0,2.0,0.0,0.0,0.0,0.0,322.958,264.099,0.0,2.0
