kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,33023.0,469.0,234.0,2.0,26.0,38.0,640.0,37285.755999999994,32644.955,0.0,2.0042735042735043
NINJA,112284.0,1618.0,3100.0,18.0,242.0,72.0,1556.0,158016.18899999995,81160.27000000002,0.0,0.5219354838709678
MEDIC,61982.0,878.0,761.0,12.0,34.0,100.0,2577.0,41448.883,78094.11599999997,53844.0,1.1537450722733247
CHEMIST,156457.0,4055.0,2600.0,56.0,82.0,580.0,13090.0,255957.50900000008,300390.69099999993,0.0,1.5596153846153846
ARCHER,31206.0,625.0,292.0,0.0,9.0,2.0,355.0,17693.448,19077.182,0.0,2.1404109589041096
SOLDIER,101285.0,1217.0,1473.0,45.0,22.0,603.0,12046.0,73154.78200000004,129912.70900000005,0.0,0.8262050237610319
ASSASSIN,201426.0,5173.0,5024.0,17.0,519.0,68.0,954.0,138755.377,121496.7059999999,0.0,1.0296576433121019
PYRO,86963.0,1571.0,733.0,1.0,284.0,23.0,399.0,72015.22099999999,65943.84800000003,0.0,2.1432469304229196
MAGE,59542.0,561.0,597.0,5.0,29.0,48.0,1035.0,52576.363000000005,43558.286000000015,0.0,0.9396984924623115
DWARF,719.0,6.0,3.0,1.0,0.0,0.0,26.0,395.181,399.095,0.0,2.0
ENGINEER,6588.0,84.0,53.0,2.0,3.0,4.0,130.0,6316.758000000002,5669.536999999999,0.0,1.5849056603773586
NECRO,57956.0,1146.0,558.0,7.0,52.0,54.0,2232.0,73704.506,77542.78,301.0,2.053763440860215
ELF,21930.0,211.0,248.0,3.0,4.0,42.0,1158.0,11677.129,21351.457000000006,0.0,0.8508064516129032
SCOUT,16272.0,122.0,290.0,0.0,16.0,12.0,32.0,7687.174999999999,12688.957,0.0,0.4206896551724138
