kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,40466.0,727.0,328.0,0.0,38.0,22.0,583.0,79106.97200000001,56432.475,0.0,2.216463414634146
ARCHER,33270.0,964.0,356.0,3.0,3.0,3.0,97.0,22248.376999999997,16855.876999999997,0.0,2.707865168539326
NINJA,106878.0,2001.0,3679.0,2.0,337.0,70.0,493.0,240705.67,103058.539,0.0,0.5438977983147595
MEDIC,11651.0,111.0,64.0,1.0,13.0,17.0,133.0,6964.669,6597.526999999999,15228.0,1.734375
ENGINEER,6617.0,118.0,61.0,1.0,17.0,30.0,616.0,7388.991,5195.234,0.0,1.9344262295081966
PYRO,4859.0,40.0,42.0,0.0,17.0,1.0,3.0,2901.26,2982.288,0.0,0.9523809523809523
SCOUT,629.0,12.0,7.0,0.0,0.0,0.0,0.0,864.391,401.157,0.0,1.7142857142857142
SOLDIER,2161.0,32.0,27.0,0.0,2.0,2.0,35.0,3512.647,2590.8950000000004,0.0,1.1851851851851851
NECRO,22637.0,566.0,328.0,2.0,10.0,47.0,828.0,27812.259000000002,32280.726,0.0,1.725609756097561
ASSASSIN,1032.0,15.0,30.0,0.0,6.0,0.0,0.0,472.044,687.452,0.0,0.5
ELF,230.0,0.0,0.0,2.0,0.0,2.0,55.0,0.0,20.0,0.0,NaN
MAGE,2088.0,5.0,3.0,1.0,1.0,2.0,71.0,751.28,319.657,0.0,1.6666666666666667
CHEMIST,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
